Gene,EntrezID,Gene description,Concentration,Concentration(ng/L)
GALNT6,11226,Polypeptide N-acetylgalactosaminyltransferase 6,4.8 µg/L,4800
CDH11,1009,Cadherin 11,4.8 µg/L,4800
RAB8A,4218,"RAB8A, member RAS oncogene family",4.8 µg/L,4800
ACAA1,30,Acetyl-CoA acyltransferase 1,4.7 µg/L,4700
PDIA5,10954,Protein disulfide isomerase family A member 5,4.7 µg/L,4700
LXN,56925,Latexin,4.7 µg/L,4700
CNTN6,27255,Contactin 6,4.7 µg/L,4700
IVL,3713,Involucrin,4.7 µg/L,4700
RAB8B,51762,"RAB8B, member RAS oncogene family",4.7 µg/L,4700
GPD1,2819,Glycerol-3-phosphate dehydrogenase 1,4.7 µg/L,4700
AGXT,189,Alanine--glyoxylate and serine--pyruvate aminotransferase,4.7 µg/L,4700
IGKV5-2,28907,Immunoglobulin kappa variable 5-2,4.7 µg/L,4700
FAT1,2195,FAT atypical cadherin 1,4.6 µg/L,4600
PTBP1,5725,Polypyrimidine tract binding protein 1,4.5 µg/L,4500
OBSCN,84033,"Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF",4.5 µg/L,4500
WFIKKN2,124857,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2",4.5 µg/L,4500
CAPZA2,830,Capping actin protein of muscle Z-line subunit alpha 2,4.5 µg/L,4500
PRSS8,5652,Serine protease 8,4.4 µg/L,4400
TCTN3,26123,Tectonic family member 3,4.4 µg/L,4400
PRDX4,10549,Peroxiredoxin 4,4.4 µg/L,4400
ARSG,22901,Arylsulfatase G,4.4 µg/L,4400
INPP5D,3635,Inositol polyphosphate-5-phosphatase D,4.4 µg/L,4400
ENPP1,5167,Ectonucleotide pyrophosphatase/phosphodiesterase 1,4.4 µg/L,4400
GP1BB,2812,Glycoprotein Ib platelet subunit beta,4.4 µg/L,4400
DDR1,780,Discoidin domain receptor tyrosine kinase 1,4.4 µg/L,4400
FSCN1,6624,Fascin actin-bundling protein 1,4.3 µg/L,4300
RAB10,10890,"RAB10, member RAS oncogene family",4.3 µg/L,4300
PTPA,5524,Protein phosphatase 2 phosphatase activator,4.3 µg/L,4300
SEPTIN7,989,Septin 7,4.3 µg/L,4300
EMILIN1,11117,Elastin microfibril interfacer 1,4.3 µg/L,4300
ANK1,286,Ankyrin 1,4.2 µg/L,4200
GH2,2689,Growth hormone 2,4.2 µg/L,4200
LPL,4023,Lipoprotein lipase,4.2 µg/L,4200
TMEM132A,54972,Transmembrane protein 132A,4.1 µg/L,4100
PLAUR,5329,"Plasminogen activator, urokinase receptor",4.1 µg/L,4100
LGALSL,29094,Galectin like,4.1 µg/L,4100
PCMT1,5110,Protein-L-isoaspartate (D-aspartate) O-methyltransferase,4.1 µg/L,4100
CNPY3,10695,Canopy FGF signaling regulator 3,4.1 µg/L,4100
ADAMTS1,9510,ADAM metallopeptidase with thrombospondin type 1 motif 1,4.1 µg/L,4100
EIF4A1,1973,Eukaryotic translation initiation factor 4A1,4.1 µg/L,4100
PDCD6IP,10015,Programmed cell death 6 interacting protein,4.1 µg/L,4100
CLEC14A,161198,C-type lectin domain containing 14A,4.1 µg/L,4100
ACP5,54,"Acid phosphatase 5, tartrate resistant",4.0 µg/L,4000
GNAI2,2771,G protein subunit alpha i2,4.0 µg/L,4000
NENF,29937,Neudesin neurotrophic factor,4.0 µg/L,4000
H1-3,3007,"H1.3 linker histone, cluster member",4.0 µg/L,4000
RAN,5901,"RAN, member RAS oncogene family",4.0 µg/L,4000
TCN1,6947,Transcobalamin 1,4.0 µg/L,4000
UGGT1,56886,UDP-glucose glycoprotein glucosyltransferase 1,4.0 µg/L,4000
DCHS1,8642,Dachsous cadherin-related 1,4.0 µg/L,4000
DCXR,51181,Dicarbonyl and L-xylulose reductase,4.0 µg/L,4000
LGALS7B,653499,Galectin 7B,4.0 µg/L,4000
MUC1,4582,"Mucin 1, cell surface associated",4.0 µg/L,4000
LGALS7,3963,Galectin 7,4.0 µg/L,4000
ARF5,381,ADP ribosylation factor 5,3.9 µg/L,3900
PABPC1,26986,Poly(A) binding protein cytoplasmic 1,3.9 µg/L,3900
SNAP23,8773,Synaptosome associated protein 23,3.9 µg/L,3900
RAC1,5879,Rac family small GTPase 1,3.9 µg/L,3900
ATIC,471,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,3.9 µg/L,3900
PLA2G1B,5319,Phospholipase A2 group IB,3.9 µg/L,3900
ARPC3,10094,Actin related protein 2/3 complex subunit 3,3.8 µg/L,3800
FLG,2312,Filaggrin,3.8 µg/L,3800
LCN1,3933,Lipocalin 1,3.8 µg/L,3800
ADGRL4,64123,Adhesion G protein-coupled receptor L4,3.8 µg/L,3800
ACAA2,10449,Acetyl-CoA acyltransferase 2,3.8 µg/L,3800
GAA,2548,"Glucosidase alpha, acid",3.8 µg/L,3800
MYO1C,4641,Myosin IC,3.8 µg/L,3800
AKR1C4,1109,Aldo-keto reductase family 1 member C4,3.8 µg/L,3800
PPP1CB,5500,Protein phosphatase 1 catalytic subunit beta,3.8 µg/L,3800
HEPH,9843,Hephaestin,3.7 µg/L,3700
DSTN,11034,"Destrin, actin depolymerizing factor",3.7 µg/L,3700
IQGAP2,10788,IQ motif containing GTPase activating protein 2,3.7 µg/L,3700
CDA,978,Cytidine deaminase,3.7 µg/L,3700
PPIC,5480,Peptidylprolyl isomerase C,3.7 µg/L,3700
KLK7,5650,Kallikrein related peptidase 7,3.7 µg/L,3700
ME1,4199,Malic enzyme 1,3.6 µg/L,3600
PLOD1,5351,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",3.6 µg/L,3600
GGT1,2678,Gamma-glutamyltransferase 1,3.6 µg/L,3600
CASP14,23581,Caspase 14,3.6 µg/L,3600
HSPA9,3313,Heat shock protein family A (Hsp70) member 9,3.6 µg/L,3600
ADAMTS8,11095,ADAM metallopeptidase with thrombospondin type 1 motif 8,3.6 µg/L,3600
CCT6A,908,Chaperonin containing TCP1 subunit 6A,3.6 µg/L,3600
B3GNT7,93010,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",3.6 µg/L,3600
STIP1,10963,Stress induced phosphoprotein 1,3.6 µg/L,3600
PPP1CA,5499,Protein phosphatase 1 catalytic subunit alpha,3.6 µg/L,3600
GAS6,2621,Growth arrest specific 6,3.6 µg/L,3600
LAP3,51056,Leucine aminopeptidase 3,3.5 µg/L,3500
ST6GALNAC1,55808,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",3.5 µg/L,3500
PCK2,5106,"Phosphoenolpyruvate carboxykinase 2, mitochondrial",3.5 µg/L,3500
LSR,51599,Lipolysis stimulated lipoprotein receptor,3.5 µg/L,3500
TWSG1,57045,Twisted gastrulation BMP signaling modulator 1,3.5 µg/L,3500
DBNL,28988,Drebrin like,3.5 µg/L,3500
INHBE,83729,Inhibin subunit beta E,3.5 µg/L,3500
CCT2,10576,Chaperonin containing TCP1 subunit 2,3.5 µg/L,3500
GLOD4,51031,Glyoxalase domain containing 4,3.5 µg/L,3500
CLEC4M,10332,C-type lectin domain family 4 member M,3.4 µg/L,3400
CD33,945,CD33 molecule,3.4 µg/L,3400
PTPRZ1,5803,Protein tyrosine phosphatase receptor type Z1,3.4 µg/L,3400
TREML2,79865,Triggering receptor expressed on myeloid cells like 2,3.4 µg/L,3400
RTN4,57142,Reticulon 4,3.4 µg/L,3400
PLBD1,79887,Phospholipase B domain containing 1,3.4 µg/L,3400
GNG11,2791,G protein subunit gamma 11,3.4 µg/L,3400
ILF2,3608,Interleukin enhancer binding factor 2,3.4 µg/L,3400
FASN,2194,Fatty acid synthase,3.4 µg/L,3400
SERPINB9,5272,Serpin family B member 9,3.4 µg/L,3400
ADH6,130,Alcohol dehydrogenase 6 (class V),3.4 µg/L,3400
RAD23A,5886,"RAD23 homolog A, nucleotide excision repair protein",3.4 µg/L,3400
MYO18A,399687,Myosin XVIIIA,3.4 µg/L,3400
ST6GAL1,6480,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",3.3 µg/L,3300
ITGA6,3655,Integrin subunit alpha 6,3.3 µg/L,3300
PCSK1N,27344,Proprotein convertase subtilisin/kexin type 1 inhibitor,3.3 µg/L,3300
SYTL4,94121,Synaptotagmin like 4,3.3 µg/L,3300
ICAM5,7087,Intercellular adhesion molecule 5,3.3 µg/L,3300
HPN,3249,Hepsin,3.3 µg/L,3300
RAC2,5880,Rac family small GTPase 2,3.3 µg/L,3300
KRAS,3845,"KRAS proto-oncogene, GTPase",3.3 µg/L,3300
AOX1,316,Aldehyde oxidase 1,3.3 µg/L,3300
OLA1,29789,Obg like ATPase 1,3.3 µg/L,3300
HSPA13,6782,Heat shock protein family A (Hsp70) member 13,3.3 µg/L,3300
ITGB2,3689,Integrin subunit beta 2,3.3 µg/L,3300
ARPC5,10092,Actin related protein 2/3 complex subunit 5,3.3 µg/L,3300
PM20D1,148811,Peptidase M20 domain containing 1,3.3 µg/L,3300
NAXE,128240,NAD(P)HX epimerase,3.3 µg/L,3300
SEPTIN2,4735,Septin 2,3.3 µg/L,3300
CANT1,124583,Calcium activated nucleotidase 1,3.3 µg/L,3300
BGN,633,Biglycan,3.3 µg/L,3300
SEMA4A,64218,Semaphorin 4A,3.3 µg/L,3300
DPYSL2,1808,Dihydropyrimidinase like 2,3.2 µg/L,3200
MAN2B1,4125,Mannosidase alpha class 2B member 1,3.2 µg/L,3200
KLK8,11202,Kallikrein related peptidase 8,3.2 µg/L,3200
GXYLT1,283464,Glucoside xylosyltransferase 1,3.2 µg/L,3200
COL14A1,7373,Collagen type XIV alpha 1 chain,3.2 µg/L,3200
SRC,6714,"SRC proto-oncogene, non-receptor tyrosine kinase",3.2 µg/L,3200
MFAP5,8076,Microfibril associated protein 5,3.2 µg/L,3200
DPP3,10072,Dipeptidyl peptidase 3,3.2 µg/L,3200
CD209,30835,CD209 molecule,3.1 µg/L,3100
SCG3,29106,Secretogranin III,3.1 µg/L,3100
PSMD3,5709,"Proteasome 26S subunit, non-ATPase 3",3.1 µg/L,3100
IL1RL1,9173,Interleukin 1 receptor like 1,3.1 µg/L,3100
SDC1,6382,Syndecan 1,3.1 µg/L,3100
B4GALT2,8704,"Beta-1,4-galactosyltransferase 2",3.1 µg/L,3100
VGF,7425,VGF nerve growth factor inducible,3.1 µg/L,3100
ACLY,47,ATP citrate lyase,3.1 µg/L,3100
ANGPTL4,51129,Angiopoietin like 4,3.1 µg/L,3100
ARF4,378,ADP ribosylation factor 4,3.1 µg/L,3100
MYL4,4635,Myosin light chain 4,3.1 µg/L,3100
NAP1L4,4676,Nucleosome assembly protein 1 like 4,3.1 µg/L,3100
GPX1,2876,Glutathione peroxidase 1,3.1 µg/L,3100
SLURP2,432355,Secreted LY6/PLAUR domain containing 2,3.1 µg/L,3100
MTAP,4507,Methylthioadenosine phosphorylase,3.0 µg/L,3000
OLFML3,56944,Olfactomedin like 3,3.0 µg/L,3000
FABP3,2170,Fatty acid binding protein 3,3.0 µg/L,3000
CKMT2,1160,"Creatine kinase, mitochondrial 2",3.0 µg/L,3000
NT5E,4907,5'-nucleotidase ecto,3.0 µg/L,3000
RAB1A,5861,"RAB1A, member RAS oncogene family",3.0 µg/L,3000
NPEPPS,9520,Aminopeptidase puromycin sensitive,3.0 µg/L,3000
ALDH1L1,10840,Aldehyde dehydrogenase 1 family member L1,3.0 µg/L,3000
INF2,64423,Inverted formin 2,3.0 µg/L,3000
LCP2,3937,Lymphocyte cytosolic protein 2,2.9 µg/L,2900
ELN,2006,Elastin,2.9 µg/L,2900
SEPTIN6,23157,Septin 6,2.9 µg/L,2900
MPST,4357,Mercaptopyruvate sulfurtransferase,2.9 µg/L,2900
NEXN,91624,Nexilin F-actin binding protein,2.9 µg/L,2900
PLD4,122618,Phospholipase D family member 4,2.9 µg/L,2900
RPLP2,6181,Ribosomal protein lateral stalk subunit P2,2.9 µg/L,2900
KRTAP9-7,100505724,Keratin associated protein 9-7,2.9 µg/L,2900
VMO1,284013,Vitelline membrane outer layer 1 homolog,2.9 µg/L,2900
PCDH9,5101,Protocadherin 9,2.9 µg/L,2900
C3orf85,401081,Chromosome 3 open reading frame 85,2.9 µg/L,2900
CCL5,6352,C-C motif chemokine ligand 5,2.9 µg/L,2900
HAGH,3029,Hydroxyacylglutathione hydrolase,2.8 µg/L,2800
CST4,1472,Cystatin S,2.8 µg/L,2800
GOT2,2806,Glutamic-oxaloacetic transaminase 2,2.8 µg/L,2800
CCN3,4856,Cellular communication network factor 3,2.8 µg/L,2800
SEPTIN11,55752,Septin 11,2.8 µg/L,2800
SORD,6652,Sorbitol dehydrogenase,2.8 µg/L,2800
SUMF1,285362,Sulfatase modifying factor 1,2.8 µg/L,2800
CNTNAP4,85445,Contactin associated protein family member 4,2.8 µg/L,2800
CBR3,874,Carbonyl reductase 3,2.8 µg/L,2800
CAPN2,824,Calpain 2,2.8 µg/L,2800
HNRNPH1,3187,Heterogeneous nuclear ribonucleoprotein H1,2.8 µg/L,2800
EFNA1,1942,Ephrin A1,2.8 µg/L,2800
HINT1,3094,Histidine triad nucleotide binding protein 1,2.8 µg/L,2800
TXNRD2,10587,Thioredoxin reductase 2,2.8 µg/L,2800
PPP1CC,5501,Protein phosphatase 1 catalytic subunit gamma,2.8 µg/L,2800
HMGB1,3146,High mobility group box 1,2.8 µg/L,2800
ATP2A1,487,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,2.8 µg/L,2800
CDC42,998,Cell division cycle 42,2.7 µg/L,2700
USP14,9097,Ubiquitin specific peptidase 14,2.7 µg/L,2700
OLFM2,93145,Olfactomedin 2,2.7 µg/L,2700
AEBP1,165,AE binding protein 1,2.7 µg/L,2700
VAT1,10493,Vesicle amine transport 1,2.7 µg/L,2700
SELPLG,6404,Selectin P ligand,2.7 µg/L,2700
MACROH2A1,9555,MacroH2A.1 histone,2.7 µg/L,2700
RAB14,51552,"RAB14, member RAS oncogene family",2.7 µg/L,2700
DNPEP,23549,Aspartyl aminopeptidase,2.7 µg/L,2700
BPIFB1,92747,BPI fold containing family B member 1,2.7 µg/L,2700
LRRC4B,94030,Leucine rich repeat containing 4B,2.7 µg/L,2700
COL4A2,1284,Collagen type IV alpha 2 chain,2.7 µg/L,2700
GRHPR,9380,Glyoxylate and hydroxypyruvate reductase,2.7 µg/L,2700
CELA2A,63036,Chymotrypsin like elastase 2A,2.7 µg/L,2700
LPP,4026,LIM domain containing preferred translocation partner in lipoma,2.7 µg/L,2700
CPAMD8,27151,C3 and PZP like alpha-2-macroglobulin domain containing 8,2.7 µg/L,2700
SMPD1,6609,Sphingomyelin phosphodiesterase 1,2.7 µg/L,2700
GLB1,2720,Galactosidase beta 1,2.7 µg/L,2700
KRTAP11-1,337880,Keratin associated protein 11-1,2.7 µg/L,2700
PSMB8,5696,Proteasome 20S subunit beta 8,2.7 µg/L,2700
SDF4,51150,Stromal cell derived factor 4,2.6 µg/L,2600
MXRA5,25878,Matrix remodeling associated 5,2.6 µg/L,2600
SLITRK3,22865,SLIT and NTRK like family member 3,2.6 µg/L,2600
FMOD,2331,Fibromodulin,2.6 µg/L,2600
UROD,7389,Uroporphyrinogen decarboxylase,2.6 µg/L,2600
CNDP2,55748,Carnosine dipeptidase 2,2.6 µg/L,2600
GALNT1,2589,Polypeptide N-acetylgalactosaminyltransferase 1,2.6 µg/L,2600
SPON2,10417,Spondin 2,2.6 µg/L,2600
SIGLEC7,27036,Sialic acid binding Ig like lectin 7,2.6 µg/L,2600
RNASE6,6039,Ribonuclease A family member k6,2.6 µg/L,2600
GP9,2815,Glycoprotein IX platelet,2.6 µg/L,2600
EFEMP2,30008,EGF containing fibulin extracellular matrix protein 2,2.6 µg/L,2600
DLK1,8788,Delta like non-canonical Notch ligand 1,2.6 µg/L,2600
AOC1,26,Amine oxidase copper containing 1,2.5 µg/L,2500
FGFR3,2261,Fibroblast growth factor receptor 3,2.5 µg/L,2500
PKP1,5317,Plakophilin 1,2.5 µg/L,2500
TMEM40,55287,Transmembrane protein 40,2.5 µg/L,2500
SFRP4,6424,Secreted frizzled related protein 4,2.5 µg/L,2500
HSPE1,3336,Heat shock protein family E (Hsp10) member 1,2.5 µg/L,2500
KLK10,5655,Kallikrein related peptidase 10,2.5 µg/L,2500
QDPR,5860,Quinoid dihydropteridine reductase,2.5 µg/L,2500
RPIA,22934,Ribose 5-phosphate isomerase A,2.5 µg/L,2500
PCDH1,5097,Protocadherin 1,2.5 µg/L,2500
DEFB1,1672,Defensin beta 1,2.5 µg/L,2500
KLK5,25818,Kallikrein related peptidase 5,2.5 µg/L,2500
HNRNPF,3185,Heterogeneous nuclear ribonucleoprotein F,2.5 µg/L,2500
ATP2A2,488,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,2.5 µg/L,2500
EEF1G,1937,Eukaryotic translation elongation factor 1 gamma,2.5 µg/L,2500
PACSIN2,11252,Protein kinase C and casein kinase substrate in neurons 2,2.4 µg/L,2400
PTGR1,22949,Prostaglandin reductase 1,2.4 µg/L,2400
ADGRE5,976,Adhesion G protein-coupled receptor E5,2.4 µg/L,2400
TNNI3,7137,"Troponin I3, cardiac type",2.4 µg/L,2400
PSAT1,29968,Phosphoserine aminotransferase 1,2.4 µg/L,2400
FBN3,84467,Fibrillin 3,2.4 µg/L,2400
TMSB4Y,9087,Thymosin beta 4 Y-linked,2.4 µg/L,2400
DMTN,2039,Dematin actin binding protein,2.4 µg/L,2400
G6PD,2539,Glucose-6-phosphate dehydrogenase,2.4 µg/L,2400
LRRN1,57633,Leucine rich repeat neuronal 1,2.4 µg/L,2400
SCIN,85477,Scinderin,2.3 µg/L,2300
BTK,695,Bruton tyrosine kinase,2.3 µg/L,2300
CLTCL1,8218,Clathrin heavy chain like 1,2.3 µg/L,2300
NUTF2,10204,Nuclear transport factor 2,2.3 µg/L,2300
SUSD1,64420,Sushi domain containing 1,2.3 µg/L,2300
TCP1,6950,T-complex 1,2.3 µg/L,2300
PLA2G12B,84647,Phospholipase A2 group XIIB,2.3 µg/L,2300
TNFRSF21,27242,TNF receptor superfamily member 21,2.3 µg/L,2300
NAPRT,93100,Nicotinate phosphoribosyltransferase,2.3 µg/L,2300
APEH,327,Acylaminoacyl-peptide hydrolase,2.3 µg/L,2300
PA2G4,5036,Proliferation-associated 2G4,2.3 µg/L,2300
H1-5,3009,"H1.5 linker histone, cluster member",2.3 µg/L,2300
FAT4,79633,FAT atypical cadherin 4,2.3 µg/L,2300
OTC,5009,Ornithine carbamoyltransferase,2.2 µg/L,2200
DCBLD2,131566,"Discoidin, CUB and LCCL domain containing 2",2.2 µg/L,2200
NAPA,8775,NSF attachment protein alpha,2.2 µg/L,2200
SIAE,54414,Sialic acid acetylesterase,2.2 µg/L,2200
ALDH2,217,Aldehyde dehydrogenase 2 family member,2.2 µg/L,2200
ANGPTL2,23452,Angiopoietin like 2,2.2 µg/L,2200
RAB6B,51560,"RAB6B, member RAS oncogene family",2.2 µg/L,2200
UQCRB,7381,Ubiquinol-cytochrome c reductase binding protein,2.2 µg/L,2200
NFASC,23114,Neurofascin,2.2 µg/L,2200
VWCE,220001,Von Willebrand factor C and EGF domains,2.2 µg/L,2200
LTBP3,4054,Latent transforming growth factor beta binding protein 3,2.2 µg/L,2200
ASAH2,56624,N-acylsphingosine amidohydrolase 2,2.2 µg/L,2200
SERPINB2,5055,Serpin family B member 2,2.2 µg/L,2200
NAGA,4668,Alpha-N-acetylgalactosaminidase,2.2 µg/L,2200
BGLAP,632,Bone gamma-carboxyglutamate protein,2.2 µg/L,2200
GGCT,79017,Gamma-glutamylcyclotransferase,2.1 µg/L,2100
MYDGF,56005,Myeloid derived growth factor,2.1 µg/L,2100
GLG1,2734,Golgi glycoprotein 1,2.1 µg/L,2100
PTGS1,5742,Prostaglandin-endoperoxide synthase 1,2.1 µg/L,2100
CRKL,1399,"CRK like proto-oncogene, adaptor protein",2.1 µg/L,2100
ASPN,54829,Asporin,2.1 µg/L,2100
MEP1A,4224,Meprin A subunit alpha,2.1 µg/L,2100
LMNB1,4001,Lamin B1,2.1 µg/L,2100
ABHD14B,84836,Abhydrolase domain containing 14B,2.1 µg/L,2100
MMP19,4327,Matrix metallopeptidase 19,2.1 µg/L,2100
TM9SF2,9375,Transmembrane 9 superfamily member 2,2.1 µg/L,2100
LRRC4,64101,Leucine rich repeat containing 4,2.1 µg/L,2100
PSMB7,5695,Proteasome 20S subunit beta 7,2.1 µg/L,2100
ATP1B1,481,ATPase Na+/K+ transporting subunit beta 1,2.1 µg/L,2100
HNRNPU,3192,Heterogeneous nuclear ribonucleoprotein U,2.1 µg/L,2100
RET,5979,Ret proto-oncogene,2.1 µg/L,2100
PRF1,5551,Perforin 1,2.1 µg/L,2100
ABAT,18,4-aminobutyrate aminotransferase,2.1 µg/L,2100
LRIG2,9860,Leucine rich repeats and immunoglobulin like domains 2,2.1 µg/L,2100
COL11A2,1302,Collagen type XI alpha 2 chain,2.1 µg/L,2100
TNFRSF17,608,TNF receptor superfamily member 17,2.0 µg/L,2000
SCARF1,8578,Scavenger receptor class F member 1,2.0 µg/L,2000
ADAMTS2,9509,ADAM metallopeptidase with thrombospondin type 1 motif 2,2.0 µg/L,2000
DNM1L,10059,Dynamin 1 like,2.0 µg/L,2000
ACO2,50,Aconitase 2,2.0 µg/L,2000
LGMN,5641,Legumain,2.0 µg/L,2000
PPP2R1A,5518,Protein phosphatase 2 scaffold subunit Aalpha,2.0 µg/L,2000
DBN1,1627,Drebrin 1,2.0 µg/L,2000
PAPPA2,60676,Pappalysin 2,2.0 µg/L,2000
CD48,962,CD48 molecule,2.0 µg/L,2000
SLC2A1,6513,Solute carrier family 2 member 1,2.0 µg/L,2000
DIAPH1,1729,Diaphanous related formin 1,2.0 µg/L,2000
RPLP1,6176,Ribosomal protein lateral stalk subunit P1,2.0 µg/L,2000
ITGAV,3685,Integrin subunit alpha V,2.0 µg/L,2000
GALNS,2588,Galactosamine (N-acetyl)-6-sulfatase,2.0 µg/L,2000
ALDH9A1,223,Aldehyde dehydrogenase 9 family member A1,2.0 µg/L,2000
ACP1,52,Acid phosphatase 1,2.0 µg/L,2000
FUOM,282969,Fucose mutarotase,2.0 µg/L,2000
LRP8,7804,LDL receptor related protein 8,2.0 µg/L,2000
HK3,3101,Hexokinase 3,2.0 µg/L,2000
CD200R1,131450,CD200 receptor 1,2.0 µg/L,2000
CTNNB1,1499,Catenin beta 1,2.0 µg/L,2000
THOP1,7064,Thimet oligopeptidase 1,2.0 µg/L,2000
NPM1,4869,Nucleophosmin 1,2.0 µg/L,2000
RGMA,56963,Repulsive guidance molecule BMP co-receptor a,2.0 µg/L,2000
MAN1A2,10905,Mannosidase alpha class 1A member 2,2.0 µg/L,2000
SH3BGRL2,83699,SH3 domain binding glutamate rich protein like 2,2.0 µg/L,2000
CKMT1A,548596,"Creatine kinase, mitochondrial 1A",2.0 µg/L,2000
CKMT1B,1159,"Creatine kinase, mitochondrial 1B",2.0 µg/L,2000
DCN,1634,Decorin,1.9 µg/L,1900
RTN4R,65078,Reticulon 4 receptor,1.9 µg/L,1900
ISOC1,51015,Isochorismatase domain containing 1,1.9 µg/L,1900
PFKP,5214,"Phosphofructokinase, platelet",1.9 µg/L,1900
RASGRP2,10235,RAS guanyl releasing protein 2,1.9 µg/L,1900
GNB1,2782,G protein subunit beta 1,1.9 µg/L,1900
NSFL1C,55968,NSFL1 cofactor,1.9 µg/L,1900
GGT7,2686,Gamma-glutamyltransferase 7,1.9 µg/L,1900
LGALS3,3958,Galectin 3,1.9 µg/L,1900
BHMT2,23743,Betaine--homocysteine S-methyltransferase 2,1.9 µg/L,1900
CCT7,10574,Chaperonin containing TCP1 subunit 7,1.9 µg/L,1900
ARHGAP18,93663,Rho GTPase activating protein 18,1.9 µg/L,1900
MAT1A,4143,Methionine adenosyltransferase 1A,1.9 µg/L,1900
F11R,50848,F11 receptor,1.9 µg/L,1900
AKR7A3,22977,Aldo-keto reductase family 7 member A3,1.9 µg/L,1900
STIM1,6786,Stromal interaction molecule 1,1.9 µg/L,1900
SMR3B,10879,Submaxillary gland androgen regulated protein 3B,1.9 µg/L,1900
ROBO2,6092,Roundabout guidance receptor 2,1.9 µg/L,1900
NOTUM,147111,"Notum, palmitoleoyl-protein carboxylesterase",1.9 µg/L,1900
LAMA3,3909,Laminin subunit alpha 3,1.8 µg/L,1800
FH,2271,Fumarate hydratase,1.8 µg/L,1800
PRKAR1A,5573,Protein kinase cAMP-dependent type I regulatory subunit alpha,1.8 µg/L,1800
MAN1C1,57134,Mannosidase alpha class 1C member 1,1.8 µg/L,1800
LAMA5,3911,Laminin subunit alpha 5,1.8 µg/L,1800
WDR44,54521,WD repeat domain 44,1.8 µg/L,1800
FST,10468,Follistatin,1.8 µg/L,1800
ARMH4,145407,Armadillo like helical domain containing 4,1.8 µg/L,1800
KLK11,11012,Kallikrein related peptidase 11,1.8 µg/L,1800
MAT2A,4144,Methionine adenosyltransferase 2A,1.8 µg/L,1800
HNRNPA3,220988,Heterogeneous nuclear ribonucleoprotein A3,1.8 µg/L,1800
TBCA,6902,Tubulin folding cofactor A,1.8 µg/L,1800
UBE2N,7334,Ubiquitin conjugating enzyme E2 N,1.8 µg/L,1800
ANXA6,309,Annexin A6,1.8 µg/L,1800
SND1,27044,Staphylococcal nuclease and tudor domain containing 1,1.8 µg/L,1800
LORICRIN,4014,Loricrin cornified envelope precursor protein,1.8 µg/L,1800
CCL27,10850,C-C motif chemokine ligand 27,1.8 µg/L,1800
PDCD6,10016,Programmed cell death 6,1.8 µg/L,1800
PREP,5550,Prolyl endopeptidase,1.7 µg/L,1700
CEMIP,57214,Cell migration inducing hyaluronidase 1,1.7 µg/L,1700
CPD,1362,Carboxypeptidase D,1.7 µg/L,1700
NIT2,56954,Nitrilase family member 2,1.7 µg/L,1700
CCT4,10575,Chaperonin containing TCP1 subunit 4,1.7 µg/L,1700
TRAP1,10131,TNF receptor associated protein 1,1.7 µg/L,1700
CLSTN3,9746,Calsyntenin 3,1.7 µg/L,1700
MEGF6,1953,Multiple EGF like domains 6,1.7 µg/L,1700
PGM2,55276,Phosphoglucomutase 2,1.7 µg/L,1700
LRRC15,131578,Leucine rich repeat containing 15,1.7 µg/L,1700
PAK2,5062,P21 (RAC1) activated kinase 2,1.7 µg/L,1700
PDLIM7,9260,PDZ and LIM domain 7,1.7 µg/L,1700
TGM2,7052,Transglutaminase 2,1.7 µg/L,1700
ITGAL,3683,Integrin subunit alpha L,1.6 µg/L,1600
